condition,seed,test_acc,val_acc,best_epoch,H_quantum,H_classical,params
classical,0,0.844,0.834,20,nan,nan,276038
classical,1,0.878,0.83,9,nan,nan,276038
classical,2,0.842,0.822,17,nan,nan,276038
classical,3,0.882,0.838,20,nan,nan,276038
classical,4,0.874,0.82,20,nan,nan,276038
qnone,0,0.846,0.834,17,2.067402720451355,nan,276323
qnone,1,0.852,0.84,16,1.6134718358516693,nan,276323
qnone,2,0.864,0.822,16,2.079419791698456,nan,276323
qnone,3,0.884,0.852,19,2.0807666182518005,nan,276323
qnone,4,0.852,0.83,17,1.9514869451522827,nan,276323
qintra,0,0.868,0.83,20,2.055674910545349,nan,276323
qintra,1,0.87,0.844,15,1.838714748620987,nan,276323
qintra,2,0.862,0.83,18,2.043964445590973,nan,276323
qintra,3,0.88,0.85,15,2.0741254687309265,nan,276323
qintra,4,0.852,0.842,20,1.9729813933372498,nan,276323
qcross,0,0.856,0.842,15,2.067770004272461,nan,276323
qcross,1,0.872,0.816,16,1.874499887228012,nan,276323
qcross,2,0.876,0.824,18,2.0683876276016235,nan,276323
qcross,3,0.876,0.862,19,2.0771554708480835,nan,276323
qcross,4,0.864,0.83,18,1.7241046130657196,nan,276323
qfull,0,0.864,0.83,11,2.0573078393936157,nan,276323
qfull,1,0.854,0.818,14,1.6984363794326782,nan,276323
qfull,2,0.874,0.826,20,2.003836005926132,nan,276323
qfull,3,0.888,0.85,11,2.0594723224639893,nan,276323
qfull,4,0.858,0.83,16,1.8264003098011017,nan,276323
