condition,seed,test_acc,val_acc,best_epoch,H_quantum,H_classical,params
classical,0,0.7622368421052632,0.796,20,nan,2.0189029773076377,855556
classical,1,0.7564473684210526,0.79,9,nan,2.0501721700032554,855556
classical,2,0.6847368421052632,0.706,15,nan,1.9438993136088054,634052
classical,3,0.7588157894736842,0.76,9,nan,2.107728679974874,856196
classical,4,0.7477631578947368,0.754,7,nan,2.483632246653239,856196
qnone,0,0.76,0.776,9,3.3824989000956216,2.0173022548357644,856289
qnone,1,0.7719736842105264,0.782,12,3.4446996053059897,2.2734758853912354,856289
qnone,2,0.7489473684210526,0.792,11,3.482406973838806,2.1683948040008545,856289
qnone,3,0.7660526315789473,0.786,10,3.431143323580424,2.1502054929733276,856289
qnone,4,0.7703947368421052,0.772,14,3.2302258809407554,2.3535006841023765,856289
qintra,0,0.7631578947368421,0.776,8,3.06569504737854,2.152934193611145,856289
qintra,1,0.7735526315789474,0.798,19,3.270581324895223,2.1675661404927573,856289
qintra,2,0.7684210526315789,0.796,17,3.5418302615483603,2.139512379964193,856289
qintra,3,0.7602631578947369,0.786,7,3.020375688870748,2.3217565615971885,856289
qintra,4,0.7768421052631579,0.788,18,3.293946544329325,2.315286874771118,856289
qcross,0,0.7593421052631579,0.778,8,3.2414393027623496,2.0164764324824014,856289
qcross,1,0.7773684210526316,0.77,12,2.8873181343078613,2.4819573561350503,856289
qcross,2,0.7622368421052632,0.794,9,3.4882513682047525,2.198538661003113,856289
qcross,3,0.7643421052631579,0.796,12,3.1580432653427124,2.2730665604273477,856289
qcross,4,0.7818421052631579,0.8,17,3.453562378883362,2.1556247075398765,856289
qfull,0,0.7682894736842105,0.78,12,3.182276487350464,2.1332239707310996,856289
qfull,1,0.7785526315789474,0.78,14,3.1036983331044516,2.4483662048975625,856289
qfull,2,0.7617105263157895,0.802,14,3.4354477326075235,2.177147388458252,856289
qfull,3,0.7607894736842106,0.794,7,3.320013443628947,2.09961732228597,856289
qfull,4,0.7773684210526316,0.786,15,3.1223527987798056,2.417986512184143,856289
