condition,seed,test_acc,val_acc,best_epoch,H_quantum,H_classical,params
classical,0,0.834,0.754,19,nan,0.9026312679052353,169030
classical,1,0.83,0.766,18,nan,0.9936367571353912,169030
classical,2,0.798,0.782,9,nan,0.5830082148313522,169030
qnone,0,0.85,0.77,18,1.0867551565170288,1.032346323132515,169123
qnone,1,0.814,0.762,15,1.6014874279499054,0.4303596615791321,169123
qnone,2,0.828,0.744,11,1.817315399646759,0.9092980474233627,169123
qintra,0,0.834,0.768,9,1.2815410792827606,0.9215372502803802,169123
qintra,1,0.82,0.762,16,1.4608485400676727,0.581343874335289,169123
qintra,2,0.822,0.75,11,1.6892908215522766,0.8260452598333359,169123
qcross,0,0.826,0.768,12,1.0850450992584229,0.9473000764846802,169123
qcross,1,0.828,0.756,16,1.4858780801296234,0.6317657083272934,169123
qcross,2,0.816,0.732,11,1.7744945883750916,0.8199592530727386,169123
qfull,0,0.824,0.77,18,1.4057470560073853,0.932402104139328,169123
qfull,1,0.824,0.752,20,1.6726338565349579,0.49087585508823395,169123
qfull,2,0.844,0.746,16,1.484650582075119,0.8360075056552887,169123
