condition,seed,test_acc,val_acc,best_epoch,H_quantum,H_classical,params
classical,0,0.643348623853211,0.686,7,nan,1.5907618800799053,239618
classical,1,0.6502293577981652,0.712,14,nan,1.3963574369748433,239618
classical,2,0.6823394495412844,0.702,25,nan,1.4539151986440022,239618
qnone,0,0.6502293577981652,0.722,7,2.9648037354151406,1.5937459468841553,239711
qnone,1,0.6490825688073395,0.714,15,2.8698219458262124,1.4924978613853455,239711
qnone,2,0.6685779816513762,0.684,17,2.6680593887964883,1.554889440536499,239711
qintra,0,0.6422018348623854,0.698,8,2.572125871976217,1.6098355054855347,239711
qintra,1,0.6525229357798165,0.71,24,2.4701403776804605,1.563610037167867,239711
qintra,2,0.6777522935779816,0.692,24,2.8708911339441934,1.5420288443565369,239711
qcross,0,0.6548165137614679,0.716,18,2.5554523865381875,1.4805531899134319,239711
qcross,1,0.6548165137614679,0.712,23,2.602870225906372,1.5820433100064595,239711
qcross,2,0.6639908256880734,0.67,16,2.9527273178100586,1.5069769819577534,239711
qfull,0,0.6754587155963303,0.708,24,2.520685911178589,1.5653110941251118,239711
qfull,1,0.658256880733945,0.72,20,2.8036082983016968,1.5936810572942097,239711
qfull,2,0.6857798165137615,0.678,21,2.6086585521698,1.4611521164576213,239711
